seed,noise,nn_mean,densvar_mean,lcf_mean,nclusters_mean,lcf_time_std,runtime_sec,attraction
1,0.0,0.008647152773329246,30.884444444389537,0.6733333333333333,2.0,0.0,1.9042980670928955,0.15
0,0.016,0.006342247010617925,28.051111111061246,0.8283333333333334,1.5,0.1716666666666667,1.9073870182037354,0.15
1,0.016,0.0072173137142712675,22.595555555515386,0.7,2.25,0.0,2.0720107555389404,0.15
0,0.032,0.008946147245732118,18.191111111078772,0.9950000000000001,2.25,0.003726779962499661,1.9083518981933594,0.15
1,0.032,0.009168499651959134,16.70888888885918,0.9966666666666667,2.0,0.0023570226039551735,1.9664709568023682,0.15
0,0.048,0.014183122819230341,8.079999999985636,0.9733333333333332,8.5,0.0057735026918962476,1.9280459880828857,0.15
1,0.048,0.014310325998301262,7.939999999985885,0.9783333333333333,6.75,0.0028867513459480995,1.9685213565826416,0.15
0,0.064,0.02362933385812299,2.8799999999948804,0.8425,28.25,0.02177855724228664,1.934156894683838,0.15
1,0.064,0.02444054143482772,2.9488888888836464,0.8191666666666666,33.5,0.01800848565414527,1.9088001251220703,0.15
0,0.08,0.027561968141519795,1.4577777777751861,0.6233333333333333,28.0,0.10469532516359607,2.006643056869507,0.15
1,0.08,0.028494529265844844,1.3933333333308564,0.5266666666666666,28.0,0.16222412479858433,2.020726203918457,0.15
